cv_id,user_id,skill
1a6bee08-2b80-4b1d-b929-193cd587754a,anon_180cb1a48e,Google Ads
1a6bee08-2b80-4b1d-b929-193cd587754a,anon_180cb1a48e,Email marketing
1a6bee08-2b80-4b1d-b929-193cd587754a,anon_180cb1a48e,Canva
1a6bee08-2b80-4b1d-b929-193cd587754a,anon_180cb1a48e,Copywriting
1a6bee08-2b80-4b1d-b929-193cd587754a,anon_180cb1a48e,Redes sociales
9eda1df1-918c-419f-af50-a0221ec67d5d,anon_6e3ed316ee,Google Ads
9eda1df1-918c-419f-af50-a0221ec67d5d,anon_6e3ed316ee,Email marketing
9eda1df1-918c-419f-af50-a0221ec67d5d,anon_6e3ed316ee,Redes sociales
9eda1df1-918c-419f-af50-a0221ec67d5d,anon_6e3ed316ee,Copywriting
6e6e58dc-4383-4348-980b-0a8fc4da7e20,anon_8a1fd4a8f3,Facturación
6e6e58dc-4383-4348-980b-0a8fc4da7e20,anon_8a1fd4a8f3,Gestión documental
6e6e58dc-4383-4348-980b-0a8fc4da7e20,anon_8a1fd4a8f3,Atención al cliente
6e6e58dc-4383-4348-980b-0a8fc4da7e20,anon_8a1fd4a8f3,SAP
6e6e58dc-4383-4348-980b-0a8fc4da7e20,anon_8a1fd4a8f3,Excel
a59e2b24-9add-45c6-a571-7c62541b7f4b,anon_198a3660c0,Facturación
a59e2b24-9add-45c6-a571-7c62541b7f4b,anon_198a3660c0,Atención al cliente
a59e2b24-9add-45c6-a571-7c62541b7f4b,anon_198a3660c0,Excel
a59e2b24-9add-45c6-a571-7c62541b7f4b,anon_198a3660c0,Gestión documental
b612ca03-a42a-4af7-bae7-37f7eb1a234d,anon_793583ce0a,Estadística
b612ca03-a42a-4af7-bae7-37f7eb1a234d,anon_793583ce0a,SQL
b612ca03-a42a-4af7-bae7-37f7eb1a234d,anon_793583ce0a,Pandas
b612ca03-a42a-4af7-bae7-37f7eb1a234d,anon_793583ce0a,Excel avanzado
b612ca03-a42a-4af7-bae7-37f7eb1a234d,anon_793583ce0a,Visualización de datos
b612ca03-a42a-4af7-bae7-37f7eb1a234d,anon_793583ce0a,ETL
b612ca03-a42a-4af7-bae7-37f7eb1a234d,anon_793583ce0a,Python
b612ca03-a42a-4af7-bae7-37f7eb1a234d,anon_793583ce0a,Tableau
773e7315-84dc-4787-bcf5-6fd89abea1f4,anon_b7061fba8a,SAP
773e7315-84dc-4787-bcf5-6fd89abea1f4,anon_b7061fba8a,Facturación
